Topic,Count,Name,Representation,Representative_Docs,Total
-1,1926,-1_classifier_classification_distribution_regression,"['classifier', 'classification', 'distribution', 'regression', 'image', 'sample', 'machine', 'tree', 'class', 'test']","['paper address problem estimate ratio frac q p p density function q another density generally arbitrary function know approximate ratio need various problem inference integration particular one need average function respect one probability distribution give sample another often refer importance sample statistical inference also closely related problem covariate shift transfer learn well various mcmc method may also useful separate underlying geometry space say manifold density function define approach base reformulate problem estimate frac q p inverse problem term integral operator correspond kernel thus reduce integral equation know fredholm problem first kind formulation combine technique regularization kernel method lead principled kernel base framework construct algorithms analyze theoretically result family algorithm fire fredholm inverse regularize estimator flexible simple easy implement provide detail theoretical analysis include concentration bound convergence rate gaussian kernel case density define r compact domain r smooth dimensional sub manifold euclidean space also show experimental result include application classification semi supervise learn within covariate shift framework demonstrate encouraging experimental comparison also show parameter algorithms choose completely unsupervised manner', 'blind deconvolution involve estimation sharp signal image give blurry observation problem fundamentally ill pose strong prior sharp image blur kernel require regularize solution space naturally lead standard map estimation framework performance compromise unknown trade parameter setting optimization heuristic convergence issue stem non convexity poor prior selection mitigate problem number author recently propose substitute variational bayesian vb strategy marginalize high dimensional image space lead good estimate blur kernel however underlie cost function involve integral close form solution complex function value argument thus lose transparency map beyond standard bayesian inspire intuition thus remain unclear exactly mechanism method able operate render understanding improvement extension difficult elucidate issue demonstrate vb methodology recast unconventional map problem particular penalty prior couple image blur kernel noise level principled way unique penalty number useful characteristic pertain relative concavity local minimum avoidance scale invariance allow u rigorously explain success vb include exist implementational heuristic approximation also provide strict criterion choose optimal image prior perhaps counter intuitively need reflect statistic natural scene challenge prevail notion vb successful blind deconvolution provide transparent platform introducing enhancement', 'focus distribution regression problem regress real value response probability distribution although exist large number similarity measure distribution little known generalization performance specific learn task learn problem formulate distribution inherent two stage sample difficulty practice sample sample distribution observable one build estimate similarity compute set point best knowledge exist method consistency guarantee distribution regression require kernel density estimation intermediate step suffers slow convergence issue high dimension domain distribution compact euclidean paper provide theoretical guarantee remarkably simple algorithmic alternative solve distribution regression problem embed distribution reproduce kernel hilbert space learn ridge regressor embeddings output main contribution prove consistency technique two stage sample set mild condition separable topological domain endow kernel give total number observation derive convergence rate explicit function problem difficulty special case answer year old open question establish consistency classical set kernel haussler gartner et al regression cover recent kernel distribution include due christmann steinwart']",5196
0,195,0_policy_reinforcement_reinforcement learn_value function,"['policy', 'reinforcement', 'reinforcement learn', 'value function', 'environment', 'mdp', 'markov decision', 'action', 'rl', 'agent']","['propose new nonparametric approach estimate value function reinforcement learn approach make use recently develop representation conditional distribution function reproduce kernel hilbert space representation bypass need estimate transition probability apply domain kernel define approach avoids need approximate intractable integral since expectation represent rkhs inner product whose computation linear complexity sample size thus efficiently perform value function estimation wide variety setting include finite state space continuous state space partially observable task sensor measurement available second advantage approach learn conditional distribution representation training sample require exhaustive exploration state space prove convergence approach either optimal policy close projection optimal policy model class reasonable assumption experiment demonstrate performance algorithm learn task continuous state space actuate pendulum navigation problem image sensor observe compare least squares policy iteration gaussian process use value function estimation algorithm achieve good performance task', 'recursive least square rls algorithm one well know algorithm use adaptive filtering system identification adaptive control popularity mainly due fast convergence speed consider optimal practice paper rls method use solve reinforcement learn problem two new reinforcement learn algorithms use linear value function approximators propose analyzed two algorithm call rls td lambda fast ahc fast adaptive heuristic critic respectively rls td lambda view extension rls td lambda general lambda within interval multi step temporal difference td learn algorithm use rls method convergence probability one limit convergence rls td lambda prove ergodic markov chain compare exist l td lambda algorithm rls td lambda advantage computation suitable online learn effectiveness rls td lambda analyze verified learn prediction experiment markov chain wide range parameter setting fast ahc algorithm derive apply propose rls td lambda algorithm critic network adaptive heuristic critic method unlike conventional ahc algorithm fast ahc make use rls method improve learn prediction efficiency critic learn control experiment cart pole balance acrobot swing problem conduct compare data efficiency fast ahc conventional ahc experimental result show data efficiency learn control also improve use rls method learn prediction process critic performance fast ahc also compare ahc method use ls td lambda furthermore demonstrated experiment different initial value variance matrix rls td lambda require get good performance learning prediction also learn control experimental result analyze base exist theoretical work transient phase forget factor rls method', 'paper consider intrusion detection application wireless sensor network wsns study problem schedule sleep time individual sensor maximize network lifetime keep track error minimum formulate problem partially observable markov decision process pomdp continuous state action space manner similar fuemmeler veeravalli however unlike formulation consider infinite horizon discount average cost objective performance criterion criterion propose convergent policy q learn algorithm operate two timescales employ function approximation handle curse dimensionality associate underlying pomdp propose algorithm incorporate policy gradient update use one simulation simultaneous perturbation stochastic approximation spsa estimate faster timescale q value parameter arise linear function approximation q value update policy temporal difference td algorithm like fashion slow timescale feature selection scheme employ algorithm manage energy track component manner assist search optimal sleep scheduling policy sake comparison discount average setting also develop function approximation analogue q learn algorithm algorithm unlike two timescale variant possess theoretical convergence guarantee finally also adapt algorithm include stochastic iterative estimation scheme intruder mobility model simulation result dimensional network set suggest algorithms result well track accuracy cost additional sensor comparison recent prior work']",5196
1,171,1_cluster_clustering_mean_spectral cluster,"['cluster', 'clustering', 'mean', 'spectral cluster', 'cluster algorithms', 'mean cluster', 'spectral', 'center', 'partition', 'point']","['cluster consider non supervise learn set goal partition collection data point disjoint cluster often bind k number cluster give assume practitioner many version problem define notably k mean k median underlying problem unsupervised nature cluster determine similarity function one approach alleviate difficulty know cluster side information alternatively semi supervise cluster practitioner incorporates side information form must cluster must separate label data point pair piece information come query cost often involve human response solicitation collection label incorporate usual clustering algorithm either strict soft constraint possibly add pairwise constraint penalty function choose cluster objective work mostly related cluster side information ask choose pair data point analysis give rise method provably well simply choose uniformly random roughly speak show distribution must bias weight place pair incident element small cluster optimal solution course know optimal solution hence know bias use recently introduce method eps smooth relative regret approximation ailon begleiter ezra show iterative process improve cluster bias tandem process provably converge optimal solution faster term query cost algorithm select pair uniformly', 'thesis propose several model strategy tackle evolve data different context framework static cluster start introduce soft kernel spectral cluster sksc algorithm well deal overlap cluster respect kernel spectral cluster ksc provide interpretable outcome afterwards whole strategy base upon ksc community detection static network propose extraction high quality training sub graph choice kernel function model selection applicability large scale data key aspect pave way development novel cluster algorithm analysis evolve network call kernel spectral cluster memory effect mksc temporal smoothness cluster result successive time step incorporate level primal optimization problem properly modify ksc formulation later application ksc fault detection industrial machine present smart pre processing data mean proper windowing operation necessary catch ongoing degradation process affect machine way genuinely unsupervised manner possible raise early warning necessary online fashion finally propose new algorithm call incremental kernel spectral cluster iksc online learn non stationary data ambitious challenge face take advantage sample property kernel spectral cluster ksc adapt initial model order tackle merge split drift cluster across time real world application consider thesis include image segmentation time series cluster community detection static evolving network', 'study exact recovery condition convex relaxation point cloud clustering problem focus two common optimization problem unsupervised cluster k mean k median clustering motivation focus convex relaxation come certificate optimality b generic tool relatively parameter free tailor specific assumption input precisely consider distributional setting k cluster mathbb r data cluster consist n point sample symmetric distribution within ball unit radius ask minimal separation distance cluster center need convex relaxation exactly recover k cluster optimal integral solution k median linear program relaxation show tight bound exact recovery obtain give arbitrarily small pairwise separation epsilon ball word pairwise center separation delta epsilon distributional model k mean lp relaxation fail recover cluster separation large delta yet enforce psd constraint k mean lp get exact cluster recovery center separation delta sqrt sqrt contrast common heuristic lloyd algorithm k k mean algorithm fail recover cluster set even arbitrarily large cluster separation k mean overseeding constant factor fail high probability exact cluster recovery complement theoretical analysis provide experimental study recovery guarantee various method discuss several open problem experiment suggest']",5196
2,141,2_gradient_convergence_stochastic_convergence rate,"['gradient', 'convergence', 'stochastic', 'convergence rate', 'descent', 'sgd', 'stochastic gradient', 'coordinate', 'strongly convex', 'optimization']","['stochastic gradient algorithm estimate gradient base one sample enjoy low computational cost per iteration widely use large scale optimization problem however stochastic gradient algorithm usually slow converge achieve sub linear convergence rate due inherent variance gradient computation accelerate convergence variance reduce stochastic gradient algorithm e g proximal stochastic variance reduce gradient prox svrg algorithm recently propose solve strongly convex problem strongly convex condition variance reduce stochastic gradient algorithm achieve linear convergence rate however many machine learn problem convex strongly convex paper introduce prox svrg project variant call variance reduce project stochastic gradient vrpsg solve class non strongly convex optimization problem widely use machine learn main technical contribution paper show vrpsg prox svrg achieve linear convergence rate without strong convexity key ingredient proof semi strongly convex ssc inequality first rigorously proved class non strongly convex problem constrain regularized setting moreover ssc inequality independent algorithm may apply analyze stochastic gradient algorithm besides vrpsg prox svrg may independent interest best knowledge first work establishes linear convergence rate variance reduce stochastic gradient algorithm solve constrain regularize problem without strong convexity', 'propose randomize nonmonotone block proximal gradient rnbpg method minimize sum smooth possibly nonconvex function block separable possibly nonconvex nonsmooth function iteration method randomly pick block accord prescribe probability distribution solve typically several associate proximal subproblems usually close form solution certain progress objective value achieve contrast usual randomize block coordinate descent method method nonmonotone flavor use variable stepsizes partially utilize local curvature information smooth component objective function show accumulation point solution sequence method stationary point problem almost surely method capable find approximate stationary point high probability also establish sublinear rate convergence method term minimal expect squared norm certain proximal gradient iteration problem consideration convex show expect objective value generate rnbpg converge optimal value problem assumption establish sublinear linear rate convergence expect objective value generate monotone version rnbpg finally conduct preliminary experiment test performance rnbpg ell regularize least square problem dual svm problem machine learn computational result demonstrate method substantially outperform randomized block coordinate descent method fix variable stepsizes', 're regularize stochastic version broyden fletcher goldfarb shanno bfgs quasi newton method propose solve convex optimization problem stochastic objective use stochastic gradient descent algorithm widespread number iteration require approximate optimal argument prohibitive high dimensional problem application second order method hand impracticable computation objective function hessian inverses incurs excessive computational cost bfgs modifies gradient descent introduce hessian approximation matrix compute finite gradient difference res utilizes stochastic gradient lieu deterministic gradient determination descent direction approximation objective function curvature since stochastic gradient compute manageable computational cost re realizable retains convergence rate advantage deterministic counterpart convergence result show low upper bound hessian egeinvalues sample function sufficient guarantee convergence optimal argument numerical experiment showcase reduction convergence time relative stochastic gradient descent algorithm non regularize stochastic version bfgs application re implementation support vector machine develop']",5196
3,122,3_link_graph_node_network,"['link', 'graph', 'node', 'network', 'community', 'relational', 'social', 'link prediction', 'membership', 'social network']","['stochastic block model sbm popular tool community detection network fit maximum likelihood mle involve computationally infeasible optimization problem propose new semidefinite programming sdp solution problem fit sbm derive relaxation mle put previously propose sdps unify framework relaxation mle various sub class sbm reveal connection sparse pca main relaxation call sdp tighter recently propose sdp relaxation thus previously establish theoretical guarantee carry however show sdp exactly recovers true community wider class sbms cover current result particular assumption strong assortativity sbm implicit consistency condition previously propose sdps relax weak assortativity approach thus significantly broaden class sbms cover consistency result also show strong assortativity indeed necessary condition exact recovery previously propose sdp approach artifact proofs analysis sdps base primal dual witness construction provide insight nature solution various sdps show combine feature sdp already available sdps achieve flexibility term assortativity block size constraint relaxation tendency produce community similar sizes tendency make ideal tool fitting network histogram method gain popularity graphon estimation literature illustrate example social network dolphin also provide empirical evidence sdps outperform spectral method fit sbms large number block', 'node real world network often class label underlie attribute related way connect node sometimes relationship simple instance node class may likely connect case however true way node link network exhibit different complex relationship attribute consider network know nodes connect know class label node class label relate network link wish identify best subset node label order learn relationship node attribute network link use discover relationship accurately predict class label rest network node present model identifies group node similar link pattern call network role use generative blockmodel model predict label learn mapping network role class label use maximum margin classifier choose subset node label accord iterative margin base active learning strategy integrate discovery network role classifier optimisation active learning process adapt network role well represent network node classification demonstrate model explore selection real world network include marine food web network english word show contrast network classifier model achieves good classification accuracy range network different relationship class label network link', 'paper explore combinatorial optimization problem max weight graph match multi partite graph arise integrate multiple data source entity resolution data integration problem perform noisy join structure data typically proceeds first hash record zero block score pair record co block similarity match pair sufficient similarity common case match two source often desirable final match one one record may match one member database statistical record linkage community accomplish matchings final stage weight bipartite graph match similarity score matchings intuitively appeal leverage natural global property many real world entity store nearly deduped know provide significant improvement precision recall unfortunately unlike bipartite case exact max weight match multi partite graph know np hard two fold algorithmic contribution approximate multi partite max weight match first algorithm borrows optimization technique common bayesian probabilistic inference second greedy approximation algorithm addition theoretical guarantee latter present comparison real world er problem bing significantly large typically find literature publication data series synthetic problem result quantify significant improvement due exploit multiple source make possible global one one constraint link otherwise independent match sub problem also discover algorithms complementary one much robust noise simple implement fast run']",5196
4,120,4_convolutional_convolutional neural_image_object,"['convolutional', 'convolutional neural', 'image', 'object', 'video', 'visual', 'convolutional network', 'cnn', 'recognition', 'layer']","['scene parse important challenge prob lem computer vision require label pixel image category belong tradition ally approach hand engineer feature color information image recently convolutional neural network cnns automatically learn hierar chies feature achieve record performance task approach typically include post processing technique superpixels produce final label ing paper propose novel network architecture combine deep deconvolutional neural network cnns experiment show deconvolutional neu ral network capable learn high order image structure beyond edge primitive comparison cnns new network architecture employ multi patch training introduce part work multi patch train ing make possible effectively learn spatial prior scene propose approach yield state art per formance four scene parse datasets namely stanford background sift flow camvid kitti addition system add advantage training system completely automate end end require post processing', 'recover structure scene image yield useful information task shape scene recognition object detection motion planning object grasp robotics thesis introduce general machine learn approach call unsupervised crf learn base maximize conditional likelihood apply approach computer vision system recover scene geometry image focus recover geometry single image stereo pair video sequence build system require algorithms inference well learn parameter conditional markov random field mrf system train unsupervisedly without use ground truth label data employ slant plane stereo vision model use fix segmentation segment leave image coherent region call superpixels assign disparity plane superpixel plane parameter estimate solve mrf labelling problem minimize energy fuction demonstrate use unsupervised crf learn algorithm parameterized slanted plane stereo vision model involve shape texture cue stereo model texture cue unsupervised training outperforms result related work stereo dataset thesis also formulate structure motion estimation energy minimization problem model extension slant plane stereo vision model also handle surface velocity velocity estimation achieve solve mrf labeling problem use loopy bp performance analysis do use novel evaluation metric base notion view prediction error experiment road drive stereo sequence show encouraging result', 'unconstrained video recognition deep convolution network dcn two active topic computer vision recently work apply dcns frame base recognizers video recognition preliminary study however show video corpora complete ground truth usually large diverse enough learn robust model network train directly video data set suffer significant overfitting poor recognition rate test set lack train sample problem limit usage deep model wide range computer vision problem obtain train data difficult overcome problem perform transfer learn image videos utilize knowledge weakly label image corpus video recognition image corpus help learn important visual pattern natural image pattern ignore model train video corpus therefore resultant network well generalizability well recognition rate show mean transfer learn image video learn frame base recognizer k videos image corpus weakly label entire learning process require k annotated instance far less million scale image data set require previous work approach may apply visual recognition task scarce train data available improves applicability dcns various computer vision problem experiment also reveal correlation meta parameter performance dcns give property target problem data result lead heuristic meta parameter selection future research rely time consume meta parameter search']",5196
5,119,5_submodular_submodular function_epsilon_eps,"['submodular', 'submodular function', 'epsilon', 'eps', 'query', 'polynomial', 'boolean', 'pac', 'halfspaces', 'monotone']","['study complexity learn approximation self bound function uniform distribution boolean hypercube n informally function f n rightarrow mathbb r self bound every x n f x upper bound sum n marginal decrease value function x self bound function include well know class function submodular fractionally subadditive xos function introduce boucheron et al context concentration measure inequalities main result nearly tight ell approximation self bound function low degree junta specifically self bound function epsilon approximate ell polynomial degree tilde epsilon tilde epsilon variable show degree junta size optimal logarithmic term previous technique consider strong ell approximation prove nearly tight bound theta epsilon degree theta epsilon number variable bound rely analysis noise stability self bound function together strong connection noise stability ell approximation low degree polynomial technique also use get tight bound ell approximation low degree polynomial faster learn algorithm halfspaces result lead improved several case almost tight bound pac agnostic learn self bound function relative uniform distribution particular assume hardness learn junta show pac agnostic learn self bound function complexity n tilde theta epsilon', 'study complexity approximate representation learn submodular function uniform distribution boolean hypercube n main result follow structural theorem submodular function epsilon close ell real value decision tree dt depth epsilon immediately imply submodular function epsilon close function epsilon variables spectral ell norm epsilon also imply close previous result state submodular function approximate polynomial degree epsilon cheraghchi et al result prove construct approximation submodular function dt rank epsilon proof rank r dt epsilon approximate dt depth frac r log epsilon show structural result exploit give attribute efficient pac learn algorithm submodular function run time tilde n cdot epsilon best previous algorithm problem require n epsilon time example cheraghchi et al work also agnostic set addition give improve learning algorithm number relate setting also prove pac agnostic learning algorithm essentially optimal via two low bound information theoretic low bound omega epsilon complexity learn monotone submodular function reasonable model computational low bound n omega epsilon base reduction learn sparse parity noise widely believe intractable first low bound learn submodular function uniform distribution', 'investigate approximability several class real value function function small number variable em junta main result tight bound number variable require approximate function f n rightarrow within ell error epsilon uniform distribution f submodular epsilon close function frac epsilon log frac epsilon variables exponential improvement previously know result note omega frac epsilon variable necessary even linear function f fractionally subadditive xos epsilon close function epsilon variable result hold function low total ell influence real value analogue friedgut theorem boolean function show omega epsilon variable necessary even xos function application result provide learn algorithm uniform distribution xos function give pac learning algorithm run time poly epsilon poly n submodular function give algorithm demand pmac learn model balcan harvey require multiplicative gamma factor approximation probability least epsilon target distribution uniform distribution algorithm run time poly gamma epsilon poly n first algorithm pmac model uniform distribution achieve constant approximation factor arbitrarily close submodular function follow low bound feldman et al algorithms close optimal also give application proper learn test agnostic learn value query class']",5196
6,99,6_arm_bandit_regret_reward,"['arm', 'bandit', 'regret', 'reward', 'arm bandit', 'multi arm', 'ucb', 'thompson', 'thompson sample', 'regret bound']","['multi arm bandit problem online algorithm choose set strategy sequence trial maximize total payoff chosen strategy performance bandit algorithm small finite strategy set quite well understood bandit problem large strategy set still topic active investigation motivate practical application online auction web advertisement goal research identify broad natural class strategy set payoff function enable design efficient solution work study general set multi arm bandit problem strategy form metric space payoff function satisfies lipschitz condition respect metric refer problem lipschitz mab problem present solution multi arm bandit problem set every metric space define isometry invariant bound performance lipschitz mab algorithm metric space present algorithm come arbitrarily close meeting bound furthermore technique give even good result benign payoff function also address full feedback best expert version problem every round payoffs arm reveal', 'multi arm bandit mab problem give set arm unknown reward model time player select one arm play aim maximize total expect reward horizon length approach base deterministic sequence exploration exploitation dsee develop construct sequential arm selection policy show light tail reward distribution dsee achieves optimal logarithmic order regret regret define total expected reward loss ideal case know reward model heavy tail reward distribution dsee achieves p regret moment reward distribution exist pth order p p p knowledge upperbound finite moment heavy tail reward distribution dsee offer optimal logarithmic regret order propose dsee approach complement exist work mab provide correspond result general reward distribution furthermore clearly define tunable parameter cardinality exploration sequence dsee approach easily extendable variation mab include mab various objective decentralize mab multiple player incomplete reward observation collision mab unknown markov dynamic combinatorial mab dependent arm often arise network optimization problem shortest path minimum span dominate set problem unknown random weight', 'define general framework large class combinatorial multi arm bandit cmab problem subsets base arm unknown distribution form super arm round super arm play base arm contain super arm play outcomes observed consider extension base arm could probabilistically trigger base outcome already trigger arm reward super arm depend outcomes played arm need satisfy two mild assumption allow large class nonlinear reward instance assume availability offline alpha beta approximation oracle take mean outcome distribution arm output super arm probability beta generates alpha fraction optimal expect reward objective online learn algorithm cmab minimize alpha beta approximation regret difference alpha beta fraction expect reward always play optimal super arm expect reward play super arm accord algorithm provide cucb algorithm achieve log n distribution dependent regret n number round play provide distribution independent bound large class reward function regret analysis tight match bound ucb algorithm constant factor classical mab problem significantly improve regret bound early paper combinatorial bandit linear reward apply cmab framework two new application probabilistic maximum coverage social influence maximization nonlinear reward structure particular application social influence maximization require extension probabilistically trigger arm']",5196
7,94,7_lasso_group lasso_group_norm,"['lasso', 'group lasso', 'group', 'norm', 'penalty', 'screen', 'sparsity', 'overlap group', 'regularization', 'overlap']","['study problem learn high dimensional regression model regularize structured sparsity induce penalty encodes prior structural information either input output side consider two widely adopt type penalty motivate example overlap group lasso penalty base l l mixed norm penalty graph guide fusion penalty type penalty due non separability develop efficient optimization method remain challenge problem paper propose general optimization approach call smooth proximal gradient method solve structure sparse regression problem smooth convex loss wide spectrum structure sparsity induce penalty approach base general smoothing technique nesterov achieve convergence rate faster standard first order method subgradient method much scalable widely use interior point method numerical result report demonstrate efficiency scalability propose method', 'study problem estimate high dimensional regression model regularize structured sparsity induce penalty encodes prior structural information either input output variable consider two widely adopt type penalty kind motivate example general overlap group lasso penalty generalize group lasso penalty graph guide fused lasso penalty generalize fused lasso penalty type penalty due nonseparability nonsmoothness develop efficient optimization method remain challenge problem paper propose general optimization approach smooth proximal gradient spg method solve structure sparse regression problem smooth convex loss wide spectrum structure sparsity induce penalty approach combine smooth technique effective proximal gradient method achieve convergence rate significantly faster standard first order method subgradient method much scalable widely use interior point method efficiency scalability method demonstrate simulation experiment real genetic data set', 'sparse learn recently receive increase attention many area include machine learn statistic apply mathematics mixed norm regularization base l q norm q attractive many application regression classification facilitates group sparsity model result optimization problem however challenge solve due inherent structure mixed norm regularization exist work deal special case q infinity cannot easily extend general case paper propose efficient algorithm base accelerated gradient method solve general l q regularize problem one key building block propose algorithm l q regularize euclidean projection ep q theoretical analysis reveals key property ep q illustrates ep q general q significantly challenge solve special case base theoretical analysis develop efficient algorithm ep q solve two zero finding problem improve efficiency solve large dimensional mixed norm regularize problem propose screen method able quickly identify inactive group e group component solution may lead substantial reduction number group enter optimization appeal feature screen method data set need scan run screen compare solve mixed norm regularize problem computational cost screen test negligible key propose screen method accurate sensitivity analysis dual optimal solution regularization parameter varies experimental result demonstrate efficiency propose algorithm']",5196
8,92,8_recommendation_item_user_rating,"['recommendation', 'item', 'user', 'rating', 'recommender', 'collaborative', 'collaborative filtering', 'filtering', 'cf', 'user item']","['albeit implicit feedback base recommendation problem user history available rating typical set real world application much less researched explicit feedback case state art algorithm efficient explicit case cannot automatically transform implicit case scalability maintain implicit feedback benchmark data set therefore new idea usually experiment explicit benchmark paper propose generic context aware implicit feedback recommender algorithm coin itals itals applies fast al base tensor factorization learn method scale linearly number non zero element tensor also present two approximate fast variant itals use coordinate descent conjugate gradient method learn method also allow u incorporate various contextual information model maintain computational efficiency present two context aware variant itals incorporate seasonality item purchase sequentiality model distinguish user behavior different time interval product type different repetitiveness experiment run six data set show itals clearly outperform context unaware model context aware baseline par factorization machine beat time case term recall map', 'advent online social network recommender system become crucial success many online application service due significance role tailor application user specific need preference despite increase popularity general recommender system suffer data sparsity cold start problem alleviate issue recent year upsurge interest exploit social information trust relation among user along rating data improve performance recommender system main motivation exploit trust information recommendation process stem observation idea expose choice make significantly influence social context however large user community addition trust relation distrust relation also exist user instance epinions concepts personal web trust personal block list allow user categorize friend base quality review trust distrusted friend respectively paper propose matrix factorization base model recommendation social rating network properly incorporate trust distrust relationship aim improve quality recommendation mitigate data sparsity cold start user issue experiment epinions data set show new algorithm outperforms standard trust enhance distrust enhance counterpart respect accuracy thereby demonstrate positive effect incorporation explicit distrust information recommender system', 'albeit implicit feedback base recommendation problem user history available rating typical set real world application much less researched explicit feedback case state art algorithm efficient explicit case cannot straightforwardly transform implicit case scalability maintain implicit feedback benchmark datasets therefore new idea usually experiment explicit benchmark paper propose generic context aware implicit feedback recommender algorithm coin itals itals apply fast al base tensor factorization learn method scale linearly number non zero element tensor method also allow u incorporate diverse context information model maintain computational efficiency particular present two context aware implementation variant itals first incorporate seasonality enables distinguish user behavior different time interval view user history sequential information ability recognize usage pattern typical certain group item e g automatically tell apart product type category typically purchase repetitively collectibles grocery good household appliances experiment perform three implicit datasets two proprietary one implicit variant netflix dataset show integrate context aware information factorization framework state art implicit recommender algorithm recommendation quality improve significantly']",5196
