Period,Category,Topic_ID,Intensity_in_Slice,Contextual_Keywords
1991_1998,cs.AI,1,0.36610932564394855,"learn, base, search, machine, order, number, technique, application, constraint, machine learn"
1991_1998,cs.AI,2,0.14148993345137723,"learn, function, base, class, bound, case, value, order, number, distribution"
1991_1998,cs.AI,3,0.3413644216799096,"learn, agent, base, decision, knowledge, plan, domain, control, world, program"
1991_1998,cs.AI,4,0.11141101234776307,"learn, base, domain, representation, knowledge, graph, improve, large, experiment, class"
1991_1998,cs.AI,5,0.03962530687700122,"network, learn, base, neural, neural network, image, representation, improve, classification, class"
1991_1998,cs.CL,1,0.27032563761713035,"base, learn, machine, technique, constraint, application, order, large, number, tree"
1991_1998,cs.CL,2,0.0848240643324254,"base, learn, function, distribution, class, error, sample, order, probability, non"
1991_1998,cs.CL,3,0.20085007399696905,"base, learn, knowledge, make, application, human, rule, develop, agent, level"
1991_1998,cs.CL,4,0.41309329552105356,"base, learn, representation, speech, domain, semantic, sentence, knowledge, corpus, natural"
1991_1998,cs.CL,5,0.030906928532421725,"base, network, learn, train, input, accuracy, architecture, neural, technique, representation"
1991_1998,cs.LG,1,0.4629990625161661,"learn, machine, machine learn, compare, number, base, space, algorithms, class, large"
1991_1998,cs.LG,2,0.10718974248932285,"learn, sample, class, function, bound, space, number, condition, theoretical, error"
1991_1998,cs.LG,3,0.1697912492467281,"learn, game, base, evaluate, predict, decision, make, knowledge, prediction, test"
1991_1998,cs.LG,4,0.08447617201796344,"learn, base, evaluate, train, compare, training, class, knowledge, machine, large"
1991_1998,cs.LG,5,0.17554377372981944,"network, neural, neural network, learn, training, train, compare, base, class, accuracy"
1999_2006,cs.AI,1,0.31861431308187566,"base, learn, constraint, search, number, technique, cluster, application, machine, solution"
1999_2006,cs.AI,2,0.12651171777561826,"function, base, distribution, learn, bound, case, probability, number, class, non"
1999_2006,cs.AI,3,0.3941754241025777,"base, learn, agent, logic, program, knowledge, reason, make, decision, application"
1999_2006,cs.AI,4,0.10056482543946814,"base, learn, representation, knowledge, domain, graph, large, level, classification, experiment"
1999_2006,cs.AI,5,0.06013371960046039,"network, neural, base, neural network, learn, image, train, classification, representation, input"
1999_2006,cs.CL,1,0.23127316763890288,"base, learn, machine, technique, application, large, number, accuracy, experiment, order"
1999_2006,cs.CL,2,0.1016376940055568,"base, learn, function, distribution, sample, estimate, class, number, experiment, probability"
1999_2006,cs.CL,3,0.17221896194039973,"base, learn, application, human, user, question, make, knowledge, level, technique"
1999_2006,cs.CL,4,0.45730463783524455,"base, learn, representation, speech, corpus, document, semantic, domain, train, experiment"
1999_2006,cs.CL,5,0.03756553857989565,"base, network, learn, train, accuracy, neural, input, technique, neural network, architecture"
1999_2006,cs.LG,1,0.32338519766808976,"learn, base, machine, function, number, space, application, class, technique, large"
1999_2006,cs.LG,2,0.3140832524406459,"learn, function, distribution, sample, bound, class, loss, base, probability, estimate"
1999_2006,cs.LG,3,0.18032489356722708,"learn, base, agent, prediction, decision, make, policy, environment, application, user"
1999_2006,cs.LG,4,0.14179879795086245,"learn, base, domain, label, generate, sequence, prediction, representation, class, classification"
1999_2006,cs.LG,5,0.040407858373174795,"network, learn, base, neural, neural network, classification, prediction, train, image, class"
2007_2014,cs.AI,1,0.31213502631801543,"base, learn, search, solution, technique, number, constraint, application, machine, large"
2007_2014,cs.AI,2,0.1881628523663219,"function, base, learn, distribution, probability, sample, bound, variable, graph, value"
2007_2014,cs.AI,3,0.34662071953849105,"base, learn, agent, decision, knowledge, human, make, user, real, application"
2007_2014,cs.AI,4,0.09660629973048851,"base, learn, representation, knowledge, domain, graph, large, experiment, user, exist"
2007_2014,cs.AI,5,0.05647510204668454,"network, base, learn, image, neural, neural network, technique, train, representation, object"
2007_2014,cs.CL,1,0.19905187919103562,"base, learn, machine, large, technique, application, number, space, compare, order"
2007_2014,cs.CL,2,0.07790469349123186,"base, learn, distribution, function, sample, error, non, number, space, graph"
2007_2014,cs.CL,3,0.18416585815602676,"base, learn, human, user, question, make, knowledge, application, develop, level"
2007_2014,cs.CL,4,0.48560077269488766,"base, learn, representation, sentence, semantic, speech, domain, natural, train, large"
2007_2014,cs.CL,5,0.05327679646681873,"network, base, neural, learn, train, neural network, deep, classification, accuracy, image"
2007_2014,cs.LG,1,0.37246202422470487,"learn, base, machine, cluster, number, large, optimization, technique, machine learn, function"
