Period,Category,Topic_ID,Intensity_in_Slice,Contextual_Keywords,Name,Count,Total
1991_1998,cs.CL,1,0.22354211663066956,"grammar,formalism,unification,semantics,constraint,parse,hpsg,tree,logic,dependency",0_grammar_formalism_unification_semantics,207,926
1991_1998,cs.CL,2,0.08207343412526998,"sense,disambiguation,sensedisambiguation,noun,document,retrieval,corpus,lexical,large,automatic",1_sense_disambiguation_sense disambiguation_noun,76,926
1991_1998,cs.CL,3,0.07019438444924406,"dialogue,agent,plan,belief,act,dialogueact,initiative,dialog,utterance,speak",2_dialogue_agent_plan_belief,65,926
1991_1998,cs.CL,4,0.06371490280777538,"translation,machinetranslation,mt,english,machine,japanese,bilingual,parallel,translate,japaneseenglish",3_translation_machine translation_mt_english,59,926
1991_1998,cs.CL,5,0.06263498920086392,"tagger,tag,statistical,entropy,speech,maximum,maximumentropy,bigram,corpus,rulebase",4_tagger_tag_statistical_entropy,58,926
1999_2006,cs.AI,1,0.17545871559633028,"belief,revision,evidence,probability,conditional,default,dempster,rule,reason,beliefrevision",0_belief_revision_evidence_probability,153,872
1999_2006,cs.AI,2,0.125,"program,logicprogram,logic,semantics,answer,stable,disjunctive,stablesemantics,negation,answerprogram",1_program_logic program_logic_semantics,109,872
1999_2006,cs.AI,3,0.10779816513761468,"neural,neuralnetwork,network,fuzzy,learn,brain,memory,artificial,artificialneural,machine",2_neural_neural network_network_fuzzy,94,872
1999_2006,cs.AI,4,0.08256880733944955,"agent,action,plan,game,base,environment,planning,reinforcement,reinforcementlearn,robot",3_agent_action_plan_game,72,872
1999_2006,cs.AI,5,0.06077981651376147,"population,genetic,fitness,evolutionary,optimization,image,ant,selection,astrobiologist,field",4_population_genetic_fitness_evolutionary,53,872
1999_2006,cs.CL,1,0.229957805907173,"grammar,parse,rule,parser,constraint,free,base,corpus,learn,machine",0_grammar_parse_rule_parser,109,474
