Topic,Count,Name,Representation,Representative_Docs,Total
-1,242,-1_knowledge_base_logic_distribution,"['knowledge', 'base', 'logic', 'distribution', 'case', 'know', 'compute', 'reason', 'argument', 'technique']","['multiple classifier system mcss allow evaluation uncertainty classification outcomes crucial importance safety critical application uncertainty classification determine trade amount data available train classifier diversity require performance interpretability mcss also give useful information expert responsible make reliable classification reason decision tree dts seem attractive classification model expert require diversity mcss exploit classification model achieve use two technique bayesian model average randomise dt ensemble technique reveal promising result apply real world problem paper experimentally compare classification uncertainty bayesian model average restart strategy randomise dt ensemble synthetic dataset domain problem commonly use machine learn community make bayesian dt average feasible use markov chain monte carlo technique classification uncertainty evaluate within uncertainty envelope technique deal class posterior distribution give confidence probability explore full posterior distribution technique produce realistic estimate easily interpret statistical term experiment find bayesian dts superior randomise dt ensemble within uncertainty envelope technique', 'past experience designation swarm painting conduct confirmed possibility realize artificial art thus non human introduce process question creative migration specifically computer monitor canvas via robotic harm recent self organize base research seek develop profound initial idea use swarm autonomous robot artsbot project live avoid purpose merely simple perpetrator order stream come external computer instead actually co evolve within canvas space act lay ink accord simple inner threshold stimulus response function react simultaneously chromatic stimulus present canvas environment do passage team mat well distribute feedback affect future collective behaviour parallel respect certain type collective system seek confirm physically embed way emergence order even concept seem find low level complexity base simple basic interchange information local dynamic part self organize mechanism tend form live whole innovative adapt allow emergent open end creative distributed production keywords artsbots project swarm intelligence stigmergy unmanned art symbiotic art swarm painting robot painting non human art paint emergence cooperation art complexity artbots robot talent show', 'segmentation colour image compose different kind texture region hard problem namely compute exact texture field decision optimum number segmentation area image contain similar unstationary texture field work method describe evolve adaptive procedure problem many real world application data cluster constitutes fundamental issue whenever behavioural feature domains mapped topological domain formulate segmentation problem upon image optimisation problem adopt evolutionary strategy genetic algorithm cluster small region colour feature space present approach use k mean unsupervised cluster method genetic algorithm namely guide last evolutionary algorithm search find optimal sub optimal data partition task know require non trivial search np complete nature solve task appropriate genetic coding also discuss since key aspect implementation purpose demonstrate efficiency genetic algorithm automatic unsupervised texture segmentation examples colour map present overall result discuss keywords genetic algorithms artificial neoteny dynamic mutation rate faster convergence colour image segmentation classification cluster']",872
0,153,0_belief_revision_evidence_probability,"['belief', 'revision', 'evidence', 'probability', 'conditional', 'default', 'dempster', 'rule', 'reason', 'belief revision']","['intelligent agent often uncertain various property environment act environment frequently need quantify uncertainty example agent wish employ expect utility paradigm decision theory guide action need assign degree belief subjective probability various assertion course degree belief arbitrary rather base information available agent paper describe one approach induce degree belief rich knowledge base include information particular individual statistical correlation physical law default rule call approach random world method method base principle indifference treat worlds agent considers possible equally likely able integrate qualitative default reason quantitative probabilistic reason provide language type information easily express result show number desideratum arise direct inference reason statistical information conclusion individual default reason follow directly semantics random world example random world capture important pattern reason specificity inheritance indifference irrelevant information default assumption independence furthermore expressive power language use intuitive semantics random world allow method deal problem beyond scope many non deductive reason system', 'earlier article j schubert nonspecific evidence int j intell syst establish within dempster shafer theory criterion function call metaconflict function criterion partition subset set several piece evidence proposition weakly specify sense may uncertain event proposition refer subset partition represent separate event metaconflict function derive plausibility partition correct view conflict dempster rule within subset newly construct piece metalevel evidence proposition give support entire partitioning article extend result previous article find plausible subset piece evidence do earlier article addition specify piece nonspecific evidence sense find event proposition might refer find plausibility every subset piece evidence belong subset automatically receive indication evidence might false develop new methodology exploit newly specify piece evidence subsequent reason process include method discount evidence base degree falsity degree credibility due partial specification affiliation well refine method infer event subset', 'article extension result two early article j schubert nonspecific evidence int j intell syst establish within dempster shafer theory criterion function call metaconflict function criterion partition subset set several piece evidence proposition weakly specify sense may uncertain event proposition refer second article j schubert specify nonspecific evidence cluster base specification technique dempster shafer theory evidential intelligence analysis multiple target track ph thesis trita na royal institute technology stockholm isbn find plausible subset piece evidence also find plausibility every subset piece evidence belongs subset article aim find posterior probability distribution regard number subset use idea piece evidence subset support existence subset degree piece evidence support anything derive bpa concerned question many subset bpa combine give prior domain probability distribution order obtain sought posterior domain distribution']",872
1,109,1_program_logic program_logic_semantics,"['program', 'logic program', 'logic', 'semantics', 'answer', 'stable', 'disjunctive', 'stable semantics', 'negation', 'answer program']","['introduce methodology framework express general preference information logic program answer set semantics order logic program extend logic program rule name unique term preference among rule give set atom form names ordered logic program transform second regular extend logic program wherein preference respect answer set obtain transform program correspond prefer answer set original program approach allow specification dynamic ordering preference appear arbitrarily within program static ordering preference external logic program trivial restriction general dynamic case first develop specific approach reason preference wherein preference order specifies order rule apply demonstrate wide range applicability framework show approach among brewka eiter capture within framework since result transformation extend logic program make use exist implementation dlv smodels end develop publicly available compiler front end program system', 'answer set program asp emerge recently viable programming paradigm well attune search problem ai constraint satisfaction combinatorics propositional logic arguably simple asp system intuitive semantics support direct modeling problem constraint however application especially require transitive closure compute require additional variable result large theory consequently may practical computational tool problem hand asp system base nonmonotonic logic stable logic program handle transitive closure computation efficiently general yield concise theory problem representation semantics however complex search middle ground paper introduce new nonmonotonic logic datalog constraint dc informally dc theory consist propositional clause constraint horn rule semantics simple natural extension semantics propositional logic however thanks presence horn rule system model transitive closure become straightforward describe syntax semantics dc study property discuss implementation dc present result experimental study effectiveness dc compare csat satisfiability checker smodels implementation stable logic program result show dc competitive two approach case many search problem often yield much efficient solution', 'answer set program asp disjunction offer powerful tool declaratively represent solve hard problem many np complete problem encode answer set semantics logic program concise intuitive way encode reflect typical guess check nature np problem property encode way polynomial size certificate correspond stable model program however problem solve capacity full disjunctive logic program dlps beyond np capture class problem second level polynomial hierarchy problem also clear guess check structure find encode dlp reflect structure may sometimes non obvious task particular check conp complete problem usually problem solve interleave separate guess check program check express inconsistency check program paper present general transformation head cycle free extend disjunctive logic program stratify positive extended disjunctive logic program base meta interpretation technique answer set original transformed program simple correspondence moreover inconsistency original program indicate designated answer set transform program transformation facilitate integration separate guess check program often easy obtain automatically single disjunctive logic program result complement recent result meta interpretation asp extend method technique declarative guess check problem solve paradigm asp']",872
2,94,2_neural_neural network_network_fuzzy,"['neural', 'neural network', 'network', 'fuzzy', 'learn', 'brain', 'memory', 'artificial', 'artificial neural', 'machine']","['long term rainfall prediction challenge task especially modern world facing major environmental problem global warm general climate rainfall highly non linear phenomena nature exhibit know butterfly effect region world notice systematic decrease annual rainfall others notice increase flood severe storm global nature phenomenon complicate require sophisticated computer model simulation predict accurately paper report performance analysis multivariate adaptive regression spline mar artificial neural network one month ahead prediction rainfall evaluate prediction efficiency make use year rainfall data kerala state southern part indian peninsula situate latitude longitude pair n e use artificial neural network train use scaled conjugate gradient algorithm neural network mar train year rainfall data performance evaluation network predict output compare actual rainfall data simulation result reveal mar good forecasting tool perform good consider neural network', 'show neural network model recently propose describe basic memory performance base ternary binary cod decode algorithm lead new neural network assembly memory model nnamm provide maximum likelihood recall recognition property imply new memory unit architecture hopfield two layer network n channel time gate auxiliary reference memory two nested feedback loop data cod used condition find version hopfied network implement maximum likelihood convolutional decoding algorithm simultaneously linear statistical classifier arbitrary binary vector respect ham distance vector analyze reference vector give addition basic memory performance etc model explicitly describe dependence time memory trace retrieval give possibility one trial learn metamemory simulation generalize knowledge representation distinct description conscious unconscious mental process show assembly memory unit may view model small inseparable part atom consciousness nontraditional neurobiological background dynamic spatiotemporal synchrony property time dependent error detector neuron early precise spike firing etc model application solve interdisciplinary problem different scientific field discuss', 'universe single currency would foreign exchange market foreign exchange rate foreign exchange past twenty five year way market perform task change enormously need intelligent monitor system become necessity keep track complex forex market vast currency market foreign concept average individual however broken simple term average individual begin understand foreign exchange market use financial instrument future invest paper attempt compare performance hybrid soft compute hard compute technique predict average monthly forex rate one month ahead soft compute model consider neural network train scaled conjugate gradient algorithm neuro fuzzy model implement takagi sugeno fuzzy inference system also consider multivariate adaptive regression spline mar classification regression tree cart hybrid cart mar technique consider exchange rate australian dollar respect u dollar singapore dollar new zealand dollar japanese yen united kingdom pound model train use data remain used test validation purpose observe propose hybrid model could predict forex rate accurately technique apply individually empirical result also reveal hybrid hard compute approach also improve previous work use neuro fuzzy approach']",872
3,72,3_agent_action_plan_game,"['agent', 'action', 'plan', 'game', 'base', 'environment', 'planning', 'reinforcement', 'reinforcement learn', 'robot']","['automate management monitoring service contract like service level agreement slas high level policy vital efficient reliable distribute service orient architectures soa high quality ser vice qos level service provider need manage execute maintain thousand slas different customer different type service need new level flexibility automation available current technol ogy propose novel rule base knowledge representation kr sla rule respective rule base service level management rbslm framework rule base approach base logic program provide several advantage include automated rule chain allow compact knowledge representation high level automation well flexibility adapt rapidly change business requirement therewith address urgent need service orient busi ness nowadays dynamically change business contractual logic order adapt rapidly change business environment overcome restrict nature slow change cycle', 'paper present augment situation calculus base approach model autonomous compute paradigm ubiquitous information service make practical commercial development easy support autonomous paradigm impose ubiquitous information service make improvement base reiter standard situation calculus first explore inherent relationship fluents evolution since fluents contribute system evolution fluents derive others define fluents sufficient necessary determine evolutional potential decisive fluents prove successor state wrt deterministic complex action satisfy markov property within calculus framework build introduce validity theory model autonomous service application specific validity requirement include validity fluents axiomatize validity requirement heuristic multiple alternative service choice range complete acceptance partial acceptance complete rejection validity ensure policy comprise alternative service choice organic autonomously computable service approach demonstrate ubiquitous calendar service ac throughout paper', 'real time heuristic search popular model act learn intelligent autonomous agent learn real time search agent improve performance time acquire refine value function guide application action compute perfect value function typically intractable heuristic approximation acquire instead study learn real time search reinforcement learn assume simple value function greedy policy use select action contrast practice high performance usually attain interleave plan act via lookahead search non trivial depth paper take step toward bridge gap propose novel algorithm learn heuristic function use specifically lookahead base policy ii selects lookahead depth adaptively state iii give user control trade exploration exploitation extensively evaluate algorithm slide tile puzzle testbed compare classical lrta recent weight lrta bound lrta falcon improvement fold convergence speed observe']",872
4,53,4_population_genetic_fitness_evolutionary,"['population', 'genetic', 'fitness', 'evolutionary', 'optimization', 'image', 'ant', 'selection', 'astrobiologist', 'field']","['present result first geological field test cyborg astrobiologist wearable computer video camcorder system use test train computer vision system towards autonomous decision make capability field geologist cyborg astrobiologist platform thus far used test development algorithms system robotic acquisition quasi mosaic image real time image segmentation real time determination interest point image mosaic work test whole system rather one part system however beyond concept system uncommon map despite simplicity main innovative part system uncommon map help determine interest point context free manner overall hardware software system function reliably computer vision algorithm adequate first field test addition proof concept aspect field test main result field test enumeration issue improve future include deal structural shadow microtexture also control camera zoom lens intelligent manner nonetheless despite technical inadequacy cyborg astrobiologist system consist camera equip wearable computer computer vision algorithms demonstrate ability find genuinely interest point real time geological scenery gathering information interest point automate manner use capability autonomous guidance towards geological point interest', 'neoteny also spell paedomorphosis define biological term retention organism juvenile even larval trait later life specie morphological development retard organism juvenilized sexually mature shift reproductive capability would appear adaptive significance organism exhibit term evolutionary theory process paedomorphosis suggest larval stage developmental phase exist organism may give rise certain circumstance wholly new organism although present work pretend model simulate biological detail concept way idea incorporate rather simple abstract computational strategy order allow possible fast convergence simple non memetic genetic algorithm e without use local improvement procedure e g via baldwin lamarckian learn case study genetic algorithm use colour image segmentation purpose use k mean unsupervised cluster method namely guide evolutionary algorithm search find optimal sub optimal data partition average result suggest use neotonic strategy employ juvenile genotype later generation use linear dynamic mutation rate instead constant increase fitness value compare classical genetic algorithm independently start population characteristic search space keywords genetic algorithms artificial neoteny dynamic mutation rate faster convergence colour image segmentation classification cluster', 'neoteny also spell paedomorphosis define biological term retention organism juvenile even larval trait later life specie morphological development retard organism juvenilized sexually mature shift reproductive capability would appear adaptive significance organism exhibit term evolutionary theory process paedomorphosis suggest larval stage developmental phase exist organism may give rise certain circumstance wholly new organism although present work pretend model simulate biological detail concept way idea incorporate rather simple abstract computational strategy order allow possible fast convergence simple non memetic genetic algorithm e without use local improvement procedure e g via baldwin lamarckian learn case study genetic algorithm use colour image segmentation purpose use k mean unsupervised cluster method namely guide evolutionary algorithm search find optimal sub optimal data partition average result suggest use neotonic strategy employ juvenile genotype later generation use linear dynamic mutation rate instead constant increase fitness value compare classical genetic algorithm independently start population characteristic search space keywords genetic algorithms artificial neoteny dynamic mutation rate faster convergence colour image segmentation classification cluster']",872
5,42,5_constraint_consistency_propagation_constraint propagation,"['constraint', 'consistency', 'propagation', 'constraint propagation', 'arc', 'arc consistency', 'constraint program', 'soft', 'boolean constraint', 'soft constraint']","['notion arc consistency play central role constraint satisfaction know notion local consistency extend constraint optimisation problem define soft constraint framework base idempotent cost combination operator exclude non idempotent operator define problem important practical application max csp aim minimize number violate constraint paper show use weak additional axiom satisfy exist soft constraint proposal possible define notion soft arc consistency extend classical notion arc consistency even case non idempotent cost combination operator polynomial time algorithm enforce soft arc consistency exist space time complexity identical enforce arc consistency csps cost combination operator strictly monotonic example max csp directional version arc consistency potentially even strong non directional version since allows non local propagation penalty demonstrate utility directional arc consistency show solves soft constraint problem tree also imply form local optimality call arc irreducibility', 'study constraint satisfaction problem base predefined explicitly give finite constraint solve propose notion rule consistency express term rule derive explicit representation initial constraint notion local consistency weaker arc consistency constraint arbitrary arity coincides domains unary binary boolean constraint rule consistency coincides closure well know propagation rule boolean constraint generalize format rule obtain characterization arc consistency term call inclusion rule advantage rule consistency rule base characterization arc consistency algorithm enforce notion automatically generate chr rule algorithms could integrate constraint logic program system eclipse illustrate usefulness approach constraint propagation discuss implementation algorithms use various example include boolean constraint three value logic kleene constraint deal waltz language describe polyhedreal scene allen qualitative approach temporal logic', 'study natural situation constraint program entirely reduce rule base program end explain first one compute constraint satisfaction problem use rule represent simple first order formula consider constraint satisfaction problem base predefined explicitly give constraint solve first derive rule explicitly give constraint limit computation process repeat application rule combine label consider two type rule first type call equality rule lead new notion local consistency call em rule consistency turn weak arc consistency constraint arbitrary arity call hyper arc consistency cite m b boolean constraint rule consistency coincides closure well know propagation rule boolean constraint second type rule call membership rule yield rule base characterization arc consistency show feasibility rule base approach constraint program show type rule automatically generate tt chr rule cite fruhwirth constraint yield implementation approach program mean constraint logic programming illustrate usefulness approach constraint program discuss various example include boolean constraint two typical example many value logic constraint deal waltz language describe polyhedral scene allen qualitative approach temporal logic']",872
6,41,6_document_user_web_site,"['document', 'user', 'web', 'site', 'story', 'social', 'rank', 'link', 'germanet', 'semantic']","['new social medium site blog wikis del icio u flickr among others underscore transformation web participatory medium user actively create evaluate distribute information photo share site flickr example allow user upload photographs view photo create others comment photo etc common social medium site flickr allow user designate others contact track activity real time contact friends list form social network backbone social medium site claim social network facilitate new way interact information e g call social browsing contact interface flickr enable user see late image submit friend extensive analysis flickr data show social browsing contact photo stream one primary method user find new image flickr find implication create personalized recommendation system base user declared contact list', 'recommendation system different document network dn world wide web www digital library often use distance function extract relationship among document keywords instance document www related via hyperlink network document bibliographic database related citation collaboration network furthermore document related keyterms distance function compute relation establish associative network among item dn refer distance graph allow recommendation system identify relevant association individual user however modern recommendation system need integrate associative data multiple source different database web site even user thus present problem combine evidence association item different source characterize distance function paper describe work infer relevant association well characterize semi metric distance graph combine evidence different distance graph recommendation system regard present idea semi metric distance graph introduce ratio measure semi metric behavior compute ratio several dn digital library web sit show useful identify implicit association regard describe algorithm combine evidence distance graph use evidence set set structure base interval value fuzzy set dempster shafer theory evidence algorithm develop recommendation system name talkmine', 'new social medium site blog wikis flickr digg among others underscore transformation web participatory medium user actively create evaluate distribute information digg social news aggregator allow user submit links vote discuss news story day digg selects handful story feature front page rather rely opinion editor digg aggregate opinion thousand user decide story promote front page digg user designate user friend easily track friend activity new story submit comment read friend interface act emph social filtering system recommend user story friends liked found interest track vote receive newly submit story time show social filter effective information filter approach specifically show user tend like story submit friend b user tend like story friend read liked byproduct social filter social network also play role promote story digg front page potentially leading tyranny minority situation disproportionate number front page story come small group interconnect user despite social filter promise new technology use personalize tailor information individual user example personal front page']",872
7,39,7_mining_cluster_outlier_pattern,"['mining', 'cluster', 'outlier', 'pattern', 'categorical', 'frequent', 'detection', 'outlier detection', 'large', 'stream']","['rapid e commerce growth make business community customer face new situation due intense competition one hand customer option choose several alternative business community realize necessity intelligent marketing strategy relationship management web usage mining attempt discover useful knowledge secondary data obtain interaction user web web usage mining become critical effective web site management create adaptive web site business support service personalization network traffic flow analysis paper present important concept web usage mining various practical application present novel approach intelligent miner miner optimize concurrent architecture fuzzy cluster algorithm discover web data cluster fuzzy inference system analyze web site visitor trend hybrid evolutionary fuzzy cluster algorithm propose paper optimally segregate similar user interest cluster data use analyze trend use takagi sugeno fuzzy inference system learn use combination evolutionary algorithm neural network learn propose approach compare self organize map discover pattern several function approximation technique like neural network linear genetic programming takagi sugeno fuzzy inference system analyze cluster result graphically illustrated practical significance discuss detail empirical result clearly show propose web usage mining framework efficient', 'present new method cluster base compression method use subject specific feature background knowledge work follow first determine universal similarity distance normalize compression distance ncd compute length compress data file singly pairwise concatenation second apply hierarchical cluster method ncd universal restrict specific application area work across application area boundary theoretical precursor normalize information distance co develop one author provably optimal us non computable notion kolmogorov complexity propose precise notion similarity metric normal compressor show ncd base normal compressor similarity metric approximate universality extract hierarchy cluster distance matrix determine dendrogram binary tree new quartet method fast heuristic implement method implement available public software robust choice different compressor substantiate claim universality robustness report evidence successful application area diverse genomics virology languages literature music handwritten digits astronomy combination object completely different domain use statistical dictionary block sort compressor genomics present new evidence major question mammalian evolution base whole mitochondrial genomic analysis eutherian order marsupionta hypothesis theria hypothesis', 'task outlier detection find small group data object exceptional compare rest large amount data detection outlier important many application fraud detection customer migration application high dimensional domain data may contain hundred dimension however outlier detection problem well define none exist definition widely accept especially high dimensional space paper first contribution propose unified framework outlier detection high dimensional space ensemble learn viewpoint new framework outlying ness data object measure fuse outlier factor different subspace use combination function accordingly show exist research outlier detection regard special case unified framework respect set subspace consider type combination function use addition demonstrate usefulness ensemble learning base outlier detection framework develop simple fast algorithm namely soe subspace outlier ensemble use dimensional subspace subspaces one dimension use mining outlier large categorical datasets soe algorithm need two scan dataset hence appeal real data mining application experimental result real datasets large synthetic datasets show soe comparable performance respect state art outlier detection algorithm identify true outlier soe order magnitude faster one fast outlier detection algorithm know far']",872
8,27,8_random_sit_instance_formula,"['random', 'sit', 'instance', 'formula', 'satisfiable', 'phase transition', 'hard', 'rb', 'transition', 'phase']","['evaluation incomplete satisfiability solver depend critically availability hard satisfiable instance plausible source instance consist random k sit formula whose clause choose uniformly among clause satisfy randomly choose truth assignment unfortunately instance generated manner tend relatively easy solve efficiently practical heuristic roughly speak formula density increase number different algorithms act strong strong attractor motivate recent result geometry space satisfy truth assignment random k sat nae k sat formula introduce simple twist basic model appear dramatically increase hardness namely addition forbid clause violate hidden assignment also forbid clause violate complement complement satisfy appear symmetrization effect two attractor largely cancel make much hard algorithms find truth assignment give theoretical experimental evidence support assertion', 'paper first analyze resolution complexity two random csp model e model rb rd establish existence phase transition identify threshold point exactly encode csps cnf formula prove almost instance model rb rd tree like resolution proof less exponential size thus introduce new family cnf formulas hard resolution central task proof complexity theory also propose model many hard instance exact phase transition implication model address show theoretically experimentally application model rb rd might generation hard satisfiable instance practical importance also related open problem cryptography generate one way function subsequently theoretical support generation method show establish exponential low bound complexity solve random satisfiable force satisfiable instance rb rd near threshold finally conclusion present well detailed comparison model rb rd hamiltonian cycle problem random sit respectively exhibit three different kind phase transition behavior np complete problem', 'introduce highly structure family hard satisfiable sat formula correspond order spin glass model statistical physic model provably glassy behavior many local optimum large energy barrier local search algorithm get stick difficulty find true ground state e unique satisfying assignment test hardness formulas two davis putnam solver satz zchaff recently introduce survey propagation sp two local search algorithm walksat record record travel rrt compare formulas random xor sit formula two generator hard satisfiable instance minimum disagreement parity formula crawford et al hirsch hgen complete solver run time formulas grows exponentially sqrt n exceeds random xor sit formula small problem size sp unable solve formula variable walksat formula appear hard know generator satisfiable instance finally formulas solve efficiently rrt parameter tune height barrier local minimum use parameter measure barrier height random xor sat formula well']",872
