Topic,Count,Name,Representation,Representative_Docs,Total
-1,439,-1_base_question_answer_relation,"['base', 'question', 'answer', 'relation', 'entity', 'sentence', 'semantic', 'representation', 'learn', 'document']","['historical linguistics aim infer likely language phylogenetic tree start information concern evolutionary relatedness languages available information typically list homologous lexical phonological syntactic feature character many different language perspective reconstruction language tree example inverse problem start present incomplete often noisy information one aim infer likely past evolutionary history fundamental issue inverse problem evaluation inference make standard way deal question generate data artificial model order full access evolutionary process one go infer procedure present intrinsic limitation deal real data set one typically know model evolution suitable possible way compare algorithmic inference expert classification point view take conduct thorough survey accuracy reconstruction method compare ethnologue expert classification focus particular state art distance base method phylogeny reconstruction use worldwide linguistic database order assess accuracy infer tree introduce characterize two generalization standard definition distance tree base score quantify relative performance distance base algorithms consider quantify completeness coverage available database affect accuracy reconstruction finally draw conclusion accuracy reconstruction historical linguistics stand leading direction improve', 'wordnet prove possible construct large scale electronic lexical database principle lexical semantics accept use extensively computational linguist ever since release inspired wordnet success propose alternative similar resource base penguin edition roget thesaurus english word phrase peter mark roget publish first thesaurus year ago countless writer orator student english language use computational linguist employ roget almost year natural language processing however hesitate accept roget thesaurus proper machine tractable version available dissertation present implementation machine tractable version penguin edition roget thesaurus first implementation kind use entire current edition explain step necessary take machine readable file transform tractable system involve convert lexical material format easily exploit identify data structure design class computerize thesaurus roget organization study detail contrast wordnet show two application computerized thesaurus compute semantic similarity word phrase build lexical chain text experiment perform use well know benchmark result compare system use roget wordnet statistical technique roget turned excellent resource measure semantic similarity lexical chain easily build difficult evaluate also explain way roget thesaurus wordnet combine', 'compute spell check process detect sometimes provide spell suggestion incorrectly spell word text basically spell checker computer program use dictionary word perform spell check big dictionary high error detection rate fact spell checker base regular dictionary suffer data sparseness problem cannot capture large vocabulary word include proper name domain specific term technical jargon special acronyms terminology result exhibit low error detection rate often fail catch major error text paper propose new context sensitive spell correction method detect correct non word real word error digital text document approach hinge around data statistic google web gram data set consist big volume n gram word sequence extract world wide web fundamentally propose method comprise error detector detect misspelling candidate spelling generator base character gram model generate correction suggestion error corrector performs contextual error correction experiment conduct set text document different domain contain misspelling show outstanding spell error correction rate drastic reduction non word real word error study propose algorithm parallelize low computational cost error detection correction process']",1437
0,444,0_sentiment_opinion_network_social,"['sentiment', 'opinion', 'network', 'social', 'law', 'twitter', 'frequency', 'review', 'distribution', 'length']","['link affect define capacity sentimental arousal part message virality define probability send along significant theoretical practical importance e g viral marketing quantitative study email article ny time find strong link positive affect virality base psychological theory conclude relation universally valid conclusion appear contrast classic theory diffusion news medium emphasize negative affect promote propagation paper explore apparent paradox quantitative analysis information diffusion twitter twitter interest context show present characteristic social news medium basic measure virality twitter probability retweet twitter different email retweeting depend pre exist social relation often occur among stranger thus respect twitter may similar traditional news medium therefore hypothesize negative news content likely retweeted non news tweet positive sentiment support virality test hypothesis analyze three corpus complete sample tweet cop climate summit random sample tweet general text corpus include news latter allow u train classifier distinguish tweet carry news non news information present evidence negative sentiment enhances virality news segment non news segment conclude relation affect virality complex expect base finding berger milkman short want cite sweet talk friends serve bad news public', 'background accurate timely detection public health event international concern necessary help support risk assessment response save life novel event base method use world wide web signal source offer potential extend health surveillance area traditional indicator network lack paper address issue systematically evaluate online health news support automatic alert use daily disease country count text mine real world data use biocaster data set produce biocaster compare aberration detection algorithm ear c c w f statistic ewma performance expert moderate promed mail posting result report sensitivity specificity positive predictive value ppv negative predictive value npv mean alert day f confidence interval ci promed mail posting outbreaks across country day period result indicate w best f slight benefit day week effect c drill analysis indicate issue arise granular choice country level model sudden drop report due day week effect report bias automatic alerting implement biocaster available http bear nii ac jp conclusion online health news alert potential enhance manual analytical method increase throughput timeliness detection rate systematic evaluation health news aberration necessary push forward understand complex relationship news report volume case number select best performing feature algorithms', 'conjure thought language reflect statistical pattern word co occurrence turn come describe perceive world whether count frequently nouns verbs combine google search query extract eigenvectors term document matrix make wikipedia line shakespeare plot result latent semantics capture associative link form concept also spatial dimension embed within surface structure language shape movement object find associate phonetic contrast already toddler study explore whether articulatory acoustic parameter may likewise differentiate latent semantics action verb select x emotion face hand relate verb know activate premotor area brain mutual cosine similarity compute use latent semantic analysis lsa result adjacency matrix compare base two different large scale text corpus hawik tasa apply hierarchical clustering identify common structure across two text corpus verb largely divide combine mouth hand movement versus emotional expression transform verbs constituent phoneme cluster small large size movement appear differentiate front versus back vowel correspond increase level arousal whereas cluster emotional verb seem characterize sequence close versus open jaw produce phoneme generate downwards shift formant frequency may influence perceive valence suggest latent semantics action verb reflect parameter intensity emotional polarity appear correlate articulatory contrast acoustic characteristic phoneme']",1437
1,91,1_semantics_logic_calculus_quantum,"['semantics', 'logic', 'calculus', 'quantum', 'compositional', 'lambek', 'meaning', 'distributional', 'vector', 'logical']","['thesis problem compositionality distributional semantics distributional semantics presupposes meaning word function occurrence textual context model word distribution contexts represent vector high dimensional space problem compositionality model concern produce representation large unit text compose representation small unit text thesis focus particular approach compositionality problem namely use categorical framework develop coecke sadrzadeh clark combine syntactic analysis formalisms distributional semantic representation mean produce syntactically motivate composition operation thesis show approach theoretically extend practically implement produce concrete compositional distributional model natural language semantics furthermore demonstrates model perform par well compete approach field natural language processing three principal contribution computational linguistics thesis first extend discocat framework syntactic front semantic front incorporate number syntactic analysis formalism provide learning procedure allow generation concrete compositional distributional model second contribution evaluate model develop procedure present show outperform compositional distributional model present literature third contribution show use category theory solve linguistic problem form sound basis research illustrate example work topic also suggest direction future research', 'semantics determiner phrase definite de scriptions indefinite description quantify noun phrase often sum fully solve question common noun property determiner generalise quantifier apply two predicate property correspond common noun one correspond verb phrase first present criticism standard view firstly semantics determiner follow syntactical structure sentence secondly standard interpretation indefinite article cannot ac count nominal sentence thirdly standard view miss linguis tic asymmetry two property generalise quantifier sequel propose treatment determiner quantifier hilbert term richly type system initially develop lexical semantics use many sort logic semantical representation present semantical framework call montagovian generative lexicon show term well match syntactical structure avoid aforementioned problem standard approach hilbert term rather differ choice function one polymorphic operator one operator per formula also open intrigue connection logic meaning assembly type lambda calculus handle compositionality many sort logic semantical representation furthermore epsilon term naturally introduce type judgement confirm claim type judgment form presupposition', 'distributional compositional categorical discocat model mathematical framework provide compositional semantics meaning natural language sentence consist computational procedure construct meaning sentence give grammatical structure term compositional type logic give empirically derive meaning word particular case meaning word model within distributional vector space model experimental prediction derive real large scale data outperform empirically validate method could build vector full sentence success attribute conceptually motivated mathematical underpin integrate qualitative compositional type logic quantitative modelling meaning within category theoretic mathematical framework type logic use discocat model lambek pregroup grammar pregroup type form posetal compact close category pass functorial manner compact close structure vector space linear map tensor product diagrammatic version equational reason compact close category interpret flow word meaning within sentence pregroups simplify lambek previous type logic lambek calculus extensively use formalise reason various linguistic phenomenon apparent reliance discocat pregroups see shortcoming paper address concern point one may well realise functorial passage original type logic lambek monoidal bi close category vector space model mean organise within monoidal bi close category correspond string diagram calculus due baez stay depict flow word meaning']",1437
2,77,2_arabic_tag_morphological_stem,"['arabic', 'tag', 'morphological', 'stem', 'sindhi', 'function tag', 'myanmar', 'character', 'rule', 'stemmer']","['part speech po tag process assign word text correspond particular part speech fundamental version po tag identification word nouns verbs adjective etc process natural language part speech tag prominent tool one simplest well constant statistical model many nlp application pos tag initial stage linguistics text analysis like information retrieval machine translator text speech synthesis information extraction etc po tag assign part speech tag word sentence literature various approach propose implement po tagger paper present marathi part speech tagger morphologically rich language marathi speak native people maharashtra general approach use development tagger statistical use unigram bigram trigram hmm method present clear idea algorithm suitable example also introduces tag set marathi use tag marathi text paper show development tagger well compare check accuracy tagger output three marathi po tagger viz unigram bigram trigram hmm give accuracy respectively', 'artificial neural network ann widely use recognition optically scan character partially emulate human think domain artificial intelligence prior recognition necessary segment character text sentence word etc segmentation word individual letter one major problem handwrite recognition despite several successful work work development tool specific language still ongoing process especially indian context work explore application ann aid segmentation handwritten character assamese important language north eastern part india work explore performance difference obtain apply ann base dynamic segmentation algorithm compare projection base static segmentation algorithm involve first train ann individual handwritten character record different individual handwritten sentence separate text use static segmentation method segment line individual character separate first segment entire line segment thus obtain next fed train ann point segmentation ann recognize segment combination several segment similar handwritten character segmentation boundary character assume exist segmentation perform segmented character next compare best available match segmentation boundary confirm', 'paper describe context free grammar cfg base grammatical relation myanmar sentence combine corpus base function tag system part challenge statistical function tag myanmar sentence come fact myanmar free phrase order complex morphological system function tag pre process step show grammatical relation myanmar sentence task function tag tags function myanmar sentence correct segmentation pos part speech tag chunk information use naive bayesian theory disambiguate possible function tag word apply context free grammar cfg find grammatical relation function tag also create functional annotate tag corpus myanmar propose grammar rule myanmar sentence experiment show analysis achieves good result simple sentence complex sentence']",1437
3,69,3_speech_recognition_speech recognition_asr,"['speech', 'recognition', 'speech recognition', 'asr', 'automatic speech', 'speaker', 'mfcc', 'acoustic', 'noise', 'rate']","['present time computer employ solve complex task problem range simple calculation intensive digital image processing intricate algorithmic optimization problem computationally demand weather forecast problem asr short automatic speech recognition yet another type computational problem whose purpose recognize human speak speech convert text process computer despite asr many versatile pervasive real world application still relatively erroneous perfectly solve prone produce spell error recognize text especially asr system operate noisy environment vocabulary size limit input speech bad low quality paper propose post edit asr error correction method base microsoftn gram dataset detect correct spell error generate asr system propose method comprises error detection algorithm detect word error candidate correction generation algorithm generate correction suggestion detect word error context sensitive error correction algorithm select best candidate correction virtue use microsoft n gram dataset contains real world data word sequence extract web canmimica comprehensive dictionary word large inclusive vocabulary experiment conduct numerous speech perform different speaker show remarkable reduction asr error future research improve upon propose algorithm much parallelized take advantage multiprocessor distribute system', 'exist research observe many technique methodology available perform every step automatic speech recognition asr system performance minimization word error recognition wer maximization word accuracy rate war methodology dependent technique apply method research work indicate performance mainly depend category noise level noise variable size window frame frame overlap etc consider exist method main aim work present paper use variable size parameter like window size frame size frame overlap percentage observe performance algorithms various category noise different level also train system size parameter category real world noisy environment improve performance speech recognition system paper present result signal noise ratio snr accuracy test apply variable size parameter observe really hard evaluate test result decide parameter size asr performance improvement resultant optimization hence study suggest feasible optimum parameter size use fuzzy inference system fis enhance resultant accuracy adverse real world noisy environmental condition work helpful give discriminative training ubiquitous asr system well human computer interaction hci', 'paper revive old approach acoustic modeling borrows n gram language model attempt scale amount training data model size measure number parameter model approximately time large current size use automatic speech recognition data rich set expand phonetic context significantly beyond triphones well increase number gaussian mixture component context dependent state allow experiment context span seven context independent phone mixture component per state deal unseen phonetic context accomplish use familiar back technique use language model due implementation simplicity back acoustic model estimate store serve use mapreduce distribute compute infrastructure speech recognition experiment carry n best list rescoring framework google voice search training big model large amount data prof effective way increase accuracy state art automatic speech recognition system use hour train data speech along transcription obtain filtering utterance voice search log automatic speech recognition confidence model range size million gaussians estimate use maximum likelihood training achieve relative reduction word error rate combine first pas model train use maximum likelihood boost maximum mutual information respectively increase context size beyond five phone quinphones help']",1437
4,66,4_translation_machine translation_machine_mt,"['translation', 'machine translation', 'machine', 'mt', 'transliteration', 'parallel', 'english', 'metric', 'bilingual', 'statistical machine']","['purpose terminology set technical word expression use specific contexts denotes core concept formal discipline usually apply field machine translation information retrieval information extraction text categorization etc bilingual terminology extraction play important role application bilingual dictionary compilation bilingual ontology construction machine translation cross language information retrieval etc paper address issue monolingual terminology extraction bilingual term alignment base multi level termhood design methodology approach method base multi level termhood propose new method computes termhood terminology candidate well sentence include terminology comparison corpus since terminology general word usually differently distribution corpus termhood also use constrain enhance performance term alignment align bilingual term parallel corpus paper bilingual term alignment base termhood constraint present finding experiment result show multi level termhood get good performance exist method terminology extraction termhood use constrain factor performance bilingual term alignment improve', 'machine translation one major oldest active research area natural language processing currently statistical machine translation smt dominate machine translation research statistical machine translation approach machine translation use model learn translation pattern directly data generalize translate new unseen text smt approach largely language independent e model apply language pair statistical machine translation smt attempt generate translation use statistical method base bilingual text corpus corpus available excellent result attain translate similar text corpus still available many language pair statistical machine translation system general difficulty handle morphology source target side especially morphologically rich languages error morphology syntax target language severe consequence mean sentence change grammatical function word understand sentence incorrect tense information verb baseline smt also know phrase base statistical machine translation pbsmt system use linguistic information operate surface word form recent research show add linguistic information help improve accuracy translation less amount bilingual corpus add linguistic information do use factored statistical machine translation system pre processing step paper investigate english side pre processing use improve accuracy english tamil smt system', 'cross language information retrieval clir machine translation mt resource dictionary parallel corpora scarce hard come special domain besides resource limit language english french spanish obtain comparable corpus automatically domain could answer problem effectively comparable corpus subcorpora translation easily obtain web therefore build use comparable corpus often feasible option multilingual information processing comparability metric one key issue field build use comparable corpus currently widely accept definition metric method corpus comparability fact different definition metric method comparability might give suit various task natural language process new comparability namely termhood base metric orient task bilingual terminology extraction propose paper method word rank termhood frequency cosine similarity calculate base ranking list word termhood use comparability experiment result show termhood base metric performs well traditional frequency base metric']",1437
5,58,5_topic_document_summarization_summary,"['topic', 'document', 'summarization', 'summary', 'sentence', 'lda', 'graph', 'document summarization', 'event', 'summarize']","['paper propose general framework topic specific summarization large text corpus illustrate use analysis news databases framework concise comparative summarization cc build sparse classification method ccs lightweight flexible tool offer compromise simple word frequency base method currently wide use heavyweight model intensive method latent dirichlet allocation lda argue sparse method much offer text analysis hope cc open door new branch research important field particular topic interest e g china energy cs automatically label document either topic usually via keyword search use sparse classification method predict label high dimensional count word phrase document result small set phrase find predictive harvest summary validate tool use news article new york time international section design conduct human survey compare different summarizers human understand demonstrate approach two case study medium analysis frame egypt new york time throughout arab spring informal comparison new york time wall street journal coverage energy overall find lasso l normalization effectively usefully use summarize large corpus regardless document size', 'current research automatic single document summarization dominate two effective yet naive approach summarization sentence extraction headline generation via bag word model successful task neither model able adequately capture large set linguistic device utilized human produce summary one possible explanation widespread use model good technique develop extract appropriate training data exist document abstract document headline corpus believe future progress automatic summarization drive development sophisticate linguistically inform model well effective leverage document abstract corpus order open door simultaneously achieve goal develop technique automatically produce word word phrase phrase alignments document human write abstract alignment make explicit correspondence exist document abstract pair create potentially rich data source complex summarization algorithm may learn paper describe experiment carry analyze ability human perform alignment base analysis describe experiment create automatically model alignment task base extension standard hidden markov model learn create alignment completely unsupervised fashion describe model detail present experimental result show model able learn reliably identify word phrase level alignment corpus document abstract pair', 'complex question require inferencing synthesize information multiple document see kind topic orient informative multi document summarization goal produce single text compress version set document minimum loss relevant information paper experiment one empirical method two unsupervised statistical machine learn technique k mean expectation maximization em compute relative importance sentence compare result approach experiment show empirical approach outperforms two technique em performs well k mean however performance approach depend entirely feature set use weighting feature order measure importance relevance user query extract different kind feature e lexical lexical semantic cosine similarity basic element tree kernel base syntactic shallow semantic document sentence use local search technique learn weight feature best knowledge study use tree kernel function encode syntactic semantic information complex task compute relatedness query sentence document sentence order generate query focus summary answer complex question method generate summary e empirical k mean em show effect syntactic shallow semantic feature bag word bow feature']",1437
6,58,6_representation_learn_vector_neural,"['representation', 'learn', 'vector', 'neural', 'distribute representation', 'train', 'neural network', 'distribute', 'learn representation', 'semantic']","['word vec model application mikolov et al attract great amount attention recent two year vector representation word learn word vec model show carry semantic meaning useful various nlp task increase number researcher would like experiment word vec similar technique notice lack material comprehensively explain parameter learn process word embed model detail thus prevent researcher non expert neural network understand work mechanism model note provide detailed derivation explanation parameter update equation word vec model include original continuous bag word cbow skip gram sg model well advanced optimization technique include hierarchical softmax negative sample intuitive interpretation gradient equation also provide alongside mathematical derivation appendix review basic neuron network backpropagation provide also create interactive demo wevi facilitate intuitive understanding model', 'present incremental scalable efficient dimension reduction technique tensor base sparse random linear cod data store compactified representation fix size make memory requirement low predictable component encode decode perform line without computationally expensive analysis data set range tensor index extend dynamically without modify component representation idea originate mathematical model semantic memory method know random index natural language processing generalize random index algorithm tensor present signal noise ratio simulation representation vector matrix present also mathematical analysis approximate orthogonality high dimensional ternary vector property underpins similar random cod approach dimension reduction demonstrate property random index present result synonym identification task method present similarity random projection tucker decomposition performs well high dimensionality n random index useful range complex practical problem e g natural language processing data mining pattern recognition event detection graph search search engine prototype software provide support encode decode tensor order unify framework e vector matrices high order tensor', 'important class problem involve train deep neural network sparse prediction target high dimension occur naturally e g neural language model learn word embeddings often pose predict probability next word among vocabulary size e g compute equally large typically non sparse dimensional output vector last hidden layer reasonable dimension e g incurs prohibitive dd computational cost example update x output weight matrix compute gradient need backpropagation previous layer efficient handle large sparse network input trivial case large sparse target thus far sidestepped approximate alternative hierarchical softmax sample base approximation train work develop original algorithmic approach family loss function include squared error spherical softmax compute exact loss gradient update output weight gradient backpropagation per example instead dd remarkably without ever compute dimensional output propose algorithm yield speedup e two order magnitude typical size critical part computation often dominate train time kind network architecture']",1437
7,44,7_grammar_parser_syntactic_parse,"['grammar', 'parser', 'syntactic', 'parse', 'french', 'gf', 'lexicon', 'specification', 'lexicon grammar', 'application']","['syntagma rule base parse system structure two level general parse engine language specific grammar parse engine language independent program grammar language specific rule resource give text file consist list constituent structuresand lexical database word sense relate feature constraint since theoretical background principally tesniere element de syntaxe syntagma grammar emphasize role argument structure valency constraint satisfaction allow also horizontal bound instance treat coordination notion pro trace empty category derive generative grammar solution close government bind theory although result autonomous research property allow syntagma manage complex syntactic configuration well know weak point parse engineering important resource semantic network use disambiguation task parse process follow bottom rule drive strategy behavior control fine tune', 'paper present ongoing research investigate possibility potential integrating frame semantics particularly framenet grammatical framework gf application grammar development important component gf resource grammar library rgl encapsulate low level linguistic knowledge morphology syntax currently languages facilitate rapid development multilingual application ideal case port gf application grammar new language would require introduce domain lexicon translation equivalent interlinked via common abstract term possible highly restrict cnl develop port less restricted cnl require average linguistic knowledge particular language average gf experience specify lexicon mostly straightforward case nouns incl multi word unit however verbs complex category term inflectional paradigm argument structure add gf application grammar straightforward task paper focus verb investigate possibility create multilingual framenet base gf library propose extension current rgl allow gf application developer define clause semantic level thus leave language specific syntactic mapping extension demonstrate approach reengineering molto phrasebook application grammar', 'article first elements computational model grammar martiniquese french creole dialect present source inspiration model functional description give damoiseau pinalie bernabe grammar manual base earlier work text generation vaillant unification grammar formalism namely tree adjoin grammar tag model lexical functional category base syntactic semantic property use implement grammar martiniquese creole use prototype text generation system one main application system could use tool software support task learn creole second language nous pr esenterons dans cette communication les premier travaux de mod elisation informatique une grammaire de la langue cr eole martiniquaise en nous inspirant de description fonctionnelles de damoiseau ainsi que du manuel de pinalie bernab e prenant appui sur des travaux ant erieurs en g en eration de texte vaillant nous utilisons un formalisme de grammaires unification le grammaires adjonction arbres tag apr e l acronyme anglais ainsi qu une mod elisation de cat egories lexicales fonctionnelles base syntaxico emantique pour mettre en oeuvre une grammaire du cr eole martiniquais utilisable dans une maquette de syst eme de g en eration automatique l un de int er ets principaux de ce syst eme pourrait etre son utilisation comme logiciel outil pour l aide l apprentissage du cr eole en tant que langue seconde']",1437
8,42,8_ontology_domain_owl_prototype,"['ontology', 'domain', 'owl', 'prototype', 'knowledge', 'natural', 'control', 'business', 'technical', 'control natural']","['ontology learn ol computational task generate knowledge base form ontology give unstructured corpus whose content natural language nl several work find area limited statistical lexico syntactic pattern match base technique light weight ol technique lead accurate learn mostly several linguistic nuance nl formal ol alternative less explored methodology deep linguistics analysis make use theory tool find computational linguistics generate formal axiom definition instead simply induce taxonomy paper propose description logic dl base formal ol framework learn factual type sentence english claim semantic construction sentence non trivial hence also claim sentence require special study context ol truly formal ol propose introduce learner tool call dlol generate ontology owl format adopt gold standard base ol evaluation rich wcl v dataset community representative dataset observe significant improvement dlol compare light weight ol tool text onto formal ol tool fred', 'aim paper evaluate lexical component text knowledge mapping tkm prototype prototype domain specific purpose map instructional text onto knowledge domain context knowledge domain prototype physic specifically dc electrical circuit development prototype test limited data set domain prototype reach stage need evaluate representative linguistic data set call corpus corpus collection text drawn typical source use test data set evaluate nlp system available corpus domain develop representative corpus annotate linguistic information evaluation prototype consider one two main component lexical knowledge base corpus evaluation enrich lexical knowledge resource like vocabulary grammar structure lead prototype parse reasonable amount sentence corpus', 'aim paper evaluate text knowledge map tkm prototype prototype domain specific purpose map instructional text onto knowledge domain context knowledge domain dc electrical circuit development prototype test limited data set domain prototype reach stage need evaluate representative linguistic data set call corpus corpus collection text drawn typical source use test data set evaluate nlp system available corpus domain develop annotated representative corpus evaluation prototype considers two major component lexical component knowledge model evaluation lexical component enrich lexical resource prototype like vocabulary grammar structure lead prototype parse reasonable amount sentence corpus deal lexicon straight forward identification extraction appropriate semantic relation much involve necessary therefore manually develop conceptual structure domain formulate domain specific framework semantic relation framework semantic relationsthat result study consist relation inverse relation also conduct rhetorical analysis corpus prove representativeness convey semantic finally conduct topical discourse analysis corpus analyze coverage discourse prototype']",1437
